name,terminology,code,term,code_type,RecordDate,covariate_only
AMI,ICD10,I21,Acute myocardial infarction,1,20210127,null
AMI,ICD10,I22,Subsequent myocardial infarction,1,20210127,null
AMI,ICD10,I23,Certain current complications following acute myocardial infarction,1,20210127,null
AMI,ICD10,I241,Dressler's syndrome,1,20210127,1
AMI,ICD10,I252,Old myocardial infarction,0,20210127,1
AMI,SNOMED,10273003,Acute infarction of papillary muscle,1,20210127,null
AMI,SNOMED,1089471000000109,Acute transmural myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,12238151000119107,Acute ST segment elevation myocardial infarction of inferoposterior wall (disorder),1,20210127,null
AMI,SNOMED,129574000,Postoperative myocardial infarction,1,20210127,null
AMI,SNOMED,15712881000119105,Acute ST segment elevation myocardial infarction of anterolateral wall (disorder),1,20210127,null
AMI,SNOMED,15712921000119103,Acute ST segment elevation myocardial infarction of lateral wall (disorder),1,20210127,null
AMI,SNOMED,15990001,Acute myocardial infarction of posterolateral wall,1,20210127,null
AMI,SNOMED,161502000,H/O: myocardial infarct at less than 60,0,20210127,null
AMI,SNOMED,161503005,H/O: myocardial infarct at greater than 60,0,20210127,null
AMI,SNOMED,1755008,Old myocardial infarction,0,20210127,null
AMI,SNOMED,194802003,True posterior myocardial infarction,1,20210127,null
AMI,SNOMED,194809007,Acute atrial infarction,1,20210127,null
AMI,SNOMED,194856005,Subsequent myocardial infarction,1,20210127,null
AMI,SNOMED,194857001,Subsequent myocardial infarction of anterior wall,1,20210127,null
AMI,SNOMED,194858006,Subsequent myocardial infarction of inferior wall,1,20210127,null
AMI,SNOMED,194862000,Haemopericardium as current complication following acute myocardial infarction,1,20210127,null
AMI,SNOMED,194863005,Atrial septal defect as current complication following acute myocardial infarction,1,20210127,null
AMI,SNOMED,194865003,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,1,20210127,null
AMI,SNOMED,194866002,Rupture of chordae tendinae as current complication following acute myocardial infarction,1,20210127,null
AMI,SNOMED,194867006,Rupture of papillary muscle as current complication following acute myocardial infarction,1,20210127,null
AMI,SNOMED,194868001,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",1,20210127,null
AMI,SNOMED,22298006,Myocardial infarction,1,20210127,null
AMI,SNOMED,233825009,Acute Q wave infarction - anteroseptal (disorder),1,20210127,null
AMI,SNOMED,233826005,Acute non-Q wave infarction - anteroseptal (disorder),1,20210127,null
AMI,SNOMED,233827001,Acute Q wave infarction - anterolateral (disorder),1,20210127,null
AMI,SNOMED,233828006,Acute non-Q wave infarction - anterolateral (disorder),1,20210127,null
AMI,SNOMED,233829003,Acute Q wave infarction - inferior (disorder),1,20210127,null
AMI,SNOMED,233830008,Acute non-Q wave infarction - inferior (disorder),1,20210127,null
AMI,SNOMED,233831007,Acute Q wave infarction - inferolateral (disorder),1,20210127,null
AMI,SNOMED,233832000,Acute non-Q wave infarction - inferolateral (disorder),1,20210127,null
AMI,SNOMED,233833005,Acute Q wave infarction - lateral (disorder),1,20210127,null
AMI,SNOMED,233834004,Acute non-Q wave infarction - lateral (disorder),1,20210127,null
AMI,SNOMED,233835003,Acute widespread myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,233838001,Acute posterior myocardial infarction,1,20210127,null
AMI,SNOMED,233843008,Silent myocardial infarction,0,20210127,null
AMI,SNOMED,233846000,Ventricular septal defect as current complication following acute myocardial infarction,0,20210127,null
AMI,SNOMED,233847009,Cardiac rupture after acute myocardial infarction,1,20210127,null
AMI,SNOMED,285991000119100,Acute ST segment elevation myocardial infarction involving left main coronary artery (disorder),1,20210127,null
AMI,SNOMED,304914007,Acute Q wave myocardial infarction,1,20210127,null
AMI,SNOMED,307140009,Acute non-Q wave infarction,1,20210127,null
AMI,SNOMED,308065005,H/O: Myocardial infarction in last year,0,20210127,null
AMI,SNOMED,311792005,Postoperative transmural myocardial infarction of anterior wall,1,20210127,null
AMI,SNOMED,311793000,Postoperative transmural myocardial infarction of inferior wall,1,20210127,null
AMI,SNOMED,311796008,Postoperative subendocardial myocardial infarction,1,20210127,null
