"NAME","CODE","DESC","CATEGORY","TERMINOLOGY","OUTCOME","COVARIATE"
"HYPERTENSION","G21z0","Hypertensive heart disease NOS without CCF                                                                                                                                                                                                                     ","HYPERTENSION (3)","READ",0,1
"HYPERTENSION","G222.","Hypertensive renal disease with renal failure                                                                                                                                                                                                                  ","HYPERTENSION (3)","READ",0,1
"HYPERTENSION","G231.","Benign hypertensive heart and renal disease                                                                                                                                                                                                                    ","HYPERTENSION (3)","READ",0,1
"HYPERTENSION","F4213","Hypertensive retinopathy                                                                                                                                                                                                                                       ","HYPERTENSION (3)","READ",0,1
"HYPERTENSION","G24z.","Secondary hypertension NOS                                                                                                                                                                                                                                     ","SECONDARY HYPERTENSION (4)","READ",0,1
"HYPERTENSION","G24z1","Hypertension secondary to drug                                                                                                                                                                                                                                 ","SECONDARY HYPERTENSION (4)","READ",0,1
"HYPERTENSION","14A2.","H/O: hypertension                                                                                                                                                                                                                                              ","HISTORY OF HYPERTENSION (1)","READ",0,1
"HYPERTENSION","662O.","On treatment for hypertension                                                                                                                                                                                                                                  ","HYPERTENSION (3)","READ",0,1
"HYPERTENSION","G211.","Benign hypertensive heart disease                                                                                                                                                                                                                              ","HYPERTENSION (3)","READ",0,1
"CANCER","B6143","Hodgkin's nodular sclerosis of intra-abdominal lymph nodes                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","B321.","Malignant melanoma of eyelid including canthus                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B4A10","Malignant neoplasm of renal calyces                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B483.","Malignant neoplasm of penis, part unspecified                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B58y3","Secondary malignant neoplasm of vagina                                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","B1z..","Malig neop oth/ill-defined sites digestive tract/peritoneum                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B62x1","Lymphoepithelioid lymphoma                                                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","BB1J.","[M]Small cell carcinoma NOS                                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B651.","Chronic myeloid leukaemia                                                                                                                                                                                                                                      ","LEUKAEMIA (4)","READ",0,1
"CANCER","B308D","Malignant neoplasm of phalanges of foot                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBLz.","[M]Complex mixed or stromal neoplasm NOS                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","8Hn2.","Fast track referral for suspected breast cancer                                                                                                                                                                                                                ","POSSIBLE CANCER (2)","READ",0,1
"CANCER","B5607","Secondary and unspec malig neop submental lymph nodes                                                                                                                                                                                                          ","METASTASES (6)","READ",0,1
"CANCER","B4302","Malignant neoplasm of endometrium of corpus uteri                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5505","Malignant neoplasm of supraclavicular fossa NOS                                                                                                                                                                                                                ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B43z.","Malignant neoplasm of body of uterus NOS                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB9K.","[M]Paget's disease and infiltrating breast duct carcinoma                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","1J0D.","Suspected upper gastrointestinal cancer                                                                                                                                                                                                                        ","POSSIBLE CANCER (2)","READ",0,1
"CANCER","B495.","Malignant neoplasm of bladder neck                                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB24.","[M]Verrucous carcinoma NOS                                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B41y1","Malignant neoplasm of squamocolumnar junction of cervix                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6203","Nodular lymphoma of intra-abdominal lymph nodes                                                                                                                                                                                                                ","LYMPHOMA (5)","READ",0,1
"CANCER","1426.","H/O: * female genital tract                                                                                                                                                                                                                                    ","HISTORY OF CANCER (1)","READ",0,1
"CANCER","B2012","Malignant neoplasm of tympanic antrum                                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5621","Secondary and unspec malig neop superficial mesenteric LN                                                                                                                                                                                                      ","METASTASES (6)","READ",0,1
"CANCER","B3152","Malignant neoplasm of connective and soft tissue of perineum                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
